PMC,X,Y,Z
162,-0.13627,0.13281,0.24556
163,-0.1364,0.13281,0.24554
164,-0.13652,0.13281,0.24552
165,-0.13665,0.13281,0.24551
166,-0.13677,0.13281,0.24549
167,-0.1369,0.13281,0.24548
168,-0.13702,0.13281,0.24547
169,-0.13715,0.13281,0.24547
170,-0.13728,0.13281,0.24547
171,-0.13741,0.13281,0.24547
172,-0.13753,0.13281,0.24548
173,-0.13766,0.13281,0.24548
174,-0.13778,0.13281,0.24549
175,-0.13791,0.13281,0.24549
176,-0.13803,0.13281,0.2455
177,-0.13816,0.13281,0.2455
178,-0.13828,0.13281,0.2455
179,-0.13841,0.13281,0.24551
180,-0.13854,0.1328,0.2455
181,-0.13867,0.1328,0.24548
182,-0.13879,0.1328,0.24547
183,-0.13892,0.1328,0.24545
184,-0.13904,0.1328,0.24544
185,-0.13917,0.1328,0.24543
186,-0.13929,0.1328,0.24541
187,-0.13942,0.1328,0.24542
188,-0.13954,0.1328,0.24542
189,-0.13967,0.1328,0.24542
190,-0.1398,0.1328,0.24542
191,-0.13993,0.1328,0.24543
192,-0.14005,0.1328,0.24543
193,-0.14018,0.1328,0.24544
194,-0.1403,0.1328,0.24544
195,-0.14042,0.1328,0.24545
196,-0.14055,0.1328,0.24545
197,-0.14068,0.1328,0.24546
198,-0.1408,0.1328,0.24546
199,-0.14094,0.1328,0.24547
200,-0.14106,0.1328,0.24548
201,-0.14119,0.1328,0.24548
202,-0.14131,0.1328,0.24549
203,-0.14144,0.1328,0.24549
204,-0.14156,0.1328,0.2455
205,-0.14169,0.1328,0.2455
206,-0.14181,0.1328,0.2455
207,-0.14194,0.1328,0.2455
208,-0.14207,0.13279,0.24551
209,-0.14206,0.13267,0.24548
210,-0.14194,0.13267,0.24548
211,-0.14181,0.13267,0.2455
212,-0.14169,0.13267,0.24551
213,-0.14156,0.13267,0.24551
214,-0.14144,0.13267,0.24551
215,-0.14131,0.13267,0.2455
216,-0.14119,0.13267,0.2455
217,-0.14106,0.13267,0.24549
218,-0.14093,0.13267,0.24549
219,-0.1408,0.13267,0.24548
220,-0.14068,0.13267,0.24547
221,-0.14055,0.13266,0.24547
222,-0.14042,0.13266,0.24546
223,-0.1403,0.13266,0.24546
224,-0.14018,0.13266,0.24545
225,-0.14004,0.13266,0.24545
226,-0.13992,0.13266,0.24544
227,-0.13979,0.13266,0.24544
228,-0.13967,0.13266,0.24544
229,-0.13954,0.13266,0.24544
230,-0.13942,0.13266,0.24544
231,-0.13929,0.13266,0.24544
232,-0.13917,0.13266,0.24543
233,-0.13904,0.13266,0.24544
234,-0.13892,0.13266,0.24545
235,-0.13878,0.13266,0.24547
236,-0.13866,0.13265,0.24548
237,-0.13853,0.13266,0.2455
238,-0.13841,0.13265,0.24551
239,-0.13828,0.13265,0.24551
240,-0.13816,0.13265,0.2455
241,-0.13803,0.13265,0.2455
242,-0.13791,0.13265,0.24549
243,-0.13777,0.13265,0.24549
244,-0.13765,0.13265,0.24549
245,-0.13752,0.13265,0.24548
246,-0.1374,0.13265,0.24548
247,-0.13727,0.13265,0.24547
248,-0.13715,0.13265,0.24547
249,-0.13702,0.13265,0.24547
250,-0.1369,0.13265,0.24548
251,-0.13677,0.13265,0.24549
252,-0.13664,0.13264,0.2455
253,-0.13651,0.13264,0.24551
254,-0.13639,0.13264,0.24553
255,-0.13626,0.13264,0.24555
256,-0.13614,0.13264,0.24557
257,-0.13601,0.13264,0.24558
258,-0.13589,0.13264,0.2456
259,-0.13576,0.13264,0.2456
260,-0.13563,0.13264,0.24559
261,-0.1355,0.13264,0.24558
262,-0.13538,0.13264,0.24557
263,-0.13525,0.13264,0.24557
264,-0.13513,0.13264,0.24556
265,-0.135,0.13264,0.24555
266,-0.13488,0.13264,0.24554
267,-0.13475,0.13263,0.24553
268,-0.13462,0.13263,0.24552
269,-0.13449,0.13263,0.24552
270,-0.13437,0.13263,0.24553
271,-0.13424,0.13263,0.24553
272,-0.13412,0.13263,0.24552
273,-0.13399,0.13263,0.24551
274,-0.13387,0.13263,0.24551
275,-0.13374,0.13263,0.24552
276,-0.13362,0.13263,0.24552
277,-0.13348,0.13263,0.24553
278,-0.13336,0.13263,0.24553
279,-0.13323,0.13263,0.24554
280,-0.13311,0.13263,0.24551
281,-0.13298,0.13263,0.24549
282,-0.13286,0.13263,0.24549
283,-0.13273,0.13263,0.24549
284,-0.13261,0.13263,0.24549
285,-0.13248,0.13262,0.24548
286,-0.13235,0.13262,0.24549
287,-0.13222,0.13262,0.24549
288,-0.1321,0.13262,0.2455
289,-0.13197,0.13262,0.2455
290,-0.13185,0.13262,0.24551
291,-0.13172,0.13262,0.24551
292,-0.1316,0.13262,0.24551
293,-0.13146,0.13262,0.24552
294,-0.13134,0.13262,0.24552
295,-0.13121,0.13262,0.24553
296,-0.13108,0.13262,0.24554
297,-0.13096,0.13262,0.24554
298,-0.13084,0.13262,0.24555
299,-0.13071,0.13262,0.24556
300,-0.13058,0.13262,0.24557
301,-0.13045,0.13262,0.24557
302,-0.13033,0.13261,0.24558
303,-0.1302,0.13261,0.24555
304,-0.13008,0.13261,0.24551
305,-0.12995,0.13261,0.24547
306,-0.12983,0.13261,0.24544
307,-0.1297,0.13261,0.2454
308,-0.12958,0.13261,0.24536
309,-0.12945,0.13261,0.24534
310,-0.12945,0.13248,0.24534
311,-0.12958,0.13248,0.24537
312,-0.1297,0.13248,0.24539
313,-0.12983,0.13248,0.24542
314,-0.12995,0.13248,0.24545
315,-0.13008,0.13248,0.24549
316,-0.1302,0.13247,0.24553
317,-0.13033,0.13248,0.24557
318,-0.13045,0.13248,0.24557
319,-0.13058,0.13248,0.24557
320,-0.1307,0.13248,0.24556
321,-0.13084,0.13247,0.24555
322,-0.13096,0.13247,0.24555
323,-0.13108,0.13247,0.24554
324,-0.13121,0.13247,0.24553
325,-0.13134,0.13247,0.24553
326,-0.13146,0.13247,0.24552
327,-0.13159,0.13247,0.24552
328,-0.13171,0.13247,0.24552
329,-0.13184,0.13247,0.24551
330,-0.13197,0.13247,0.24551
331,-0.1321,0.13247,0.2455
332,-0.13222,0.13247,0.2455
333,-0.13235,0.13247,0.24549
334,-0.13247,0.13247,0.24549
