"ID","PMC","Energy (keV)","Energy Start (keV)","Energy End (keV)","Effect Size","Baseline Variation","Global Difference","Difference Sigma","Peak Height","Detector","Channel","Status"
"7-707","7","5.539933991909027","5.480968991994858","5.598898991823196","8.302000999450684","0.21036361157894135","0.04928017407655716","0.4250591993331909","1.1944034099578857","A","707","Diffraction Peak"
"7-1311","7","10.288581984996796","10.229616985082627","10.347546984910965","6.600274085998535","0.8962082862854004","0.04928017407655716","0.7478606104850769","0.6591253280639648","A","1311","Diffraction Peak"
"7-1312","7","10.296443984985352","10.237478985071183","10.35540898489952","6.600274085998535","0.8910862803459167","0.04928017407655716","0.7478606104850769","0.6591253280639648","A","1312","Diffraction Peak"
"8-427","8","3.338573995113373","3.2796089951992036","3.397538995027542","6.962780475616455","0.19147728383541107","0.14823324978351593","0.2165282517671585","0.9665555953979492","A","427","Diffraction Peak"
"9-956","9","7.497571989059448","7.4386069891452795","7.556536988973618","17.38163185119629","0.09915798902511597","0.0743536502122879","0.2614321708679199","0.7901394367218018","A","956","Diffraction Peak"
"9-1064","9","8.346667987823487","8.287702987909316","8.405632987737656","14.765095710754395","0.18306931853294373","0.0743536502122879","0.4073244631290436","0.8960880041122437","B","1064","Diffraction Peak"
"10-347","10","2.7096139960289003","2.650648996114731","2.7685789959430696","21.971221923828125","0.09847752749919891","0.04444251209497452","0.2400411069393158","0.8261588215827942","A","347","Diffraction Peak"
"10-645","10","5.052489992618561","4.993524992704391","5.11145499253273","23.557296752929688","0.16951854526996613","0.04444251209497452","0.4138856530189514","1.4796193838119507","A","645","Diffraction Peak"
"10-861","10","6.750681990146637","6.691716990232468","6.8096469900608065","10.44286060333252","0.14700330793857574","0.04444251209497452","0.39394184947013855","2.0316507816314697","A","861","Diffraction Peak"
"11-649","11","5.083937992572785","5.024972992658615","5.142902992486954","27.246524810791016","0.1270761638879776","0.022835589945316315","0.33163148164749146","1.6065011024475098","A","649","Diffraction Peak"
"11-954","11","7.481847989082336","7.422882989168167","7.540812988996506","16.756044387817383","0.11565609276294708","0.022835589945316315","0.3660911023616791","0.957112729549408","A","954","Diffraction Peak"
"11-1058","11","8.29949598789215","8.240530987977982","8.358460987806321","8.119319915771484","0.1676320880651474","0.022835589945316315","0.4485149085521698","1.2272683382034302","B","1058","Diffraction Peak"
"12-601","12","4.706561993122101","4.647596993207932","4.7655269930362705","15.737728118896484","0.12276457995176315","0.02729598432779312","0.4727426767349243","1.071757197380066","B","601","Diffraction Peak"
"12-650","12","5.091799992561341","5.032834992647171","5.1507649924755095","12.001330375671387","0.21252849698066711","0.02729598432779312","0.46834272146224976","1.3389614820480347","A","650","Diffraction Peak"
"12-964","12","7.560467988967896","7.501502989053726","7.619432988882065","10.320459365844727","0.17161378264427185","0.02729598432779312","0.43705374002456665","1.2703992128372192","A","964","Diffraction Peak"
"13-602","13","4.714423993110657","4.655458993196487","4.7733889930248266","20.4925479888916","0.17410151660442352","0.06120442599058151","0.5436064600944519","3.487563371658325","B","602","Diffraction Peak"
"14-602","14","4.714423993110657","4.655458993196487","4.7733889930248266","22.531639099121094","0.2945961356163025","0.07505452632904053","0.7079663872718811","2.7856802940368652","B","602","Diffraction Peak"
"15-607","15","4.753733993053436","4.694768993139267","4.812698992967606","17.0766544342041","0.17638224363327026","0.020493485033512115","0.528774619102478","1.6251863241195679","B","607","Diffraction Peak"
"16-605","16","4.738009993076324","4.679044993162155","4.796974992990494","20.226469039916992","0.14997869729995728","0.009395933710038662","0.4493297338485718","1.6976007223129272","B","605","Diffraction Peak"
"17-602","17","4.714423993110657","4.655458993196487","4.7733889930248266","12.365346908569336","0.12345065176486969","0.015938103199005127","0.41548264026641846","1.1468276977539062","B","602","Diffraction Peak"
"17-1003","17","7.867085988521576","7.808120988607407","7.926050988435746","16.33057975769043","0.21116222441196442","0.015938103199005127","0.42176029086112976","1.143348217010498","A","1003","Diffraction Peak"
"17-1599","17","12.552837981700897","12.493872981786728","12.611802981615067","7.309628486633301","0.6234070062637329","0.015938103199005127","0.5863294005393982","1.435084581375122","A","1599","Diffraction Peak"
"17-1617","17","12.694353981494904","12.635388981580734","12.753318981409073","7.399194240570068","0.5775309205055237","0.015938103199005127","0.6336448192596436","1.9830268621444702","A","1617","Diffraction Peak"
"18-931","18","7.301021989345551","7.242056989431381","7.35998698925972","7.289556980133057","0.3293401598930359","0.034997325390577316","0.5493444800376892","1.119712471961975","A","931","Diffraction Peak"
"18-997","18","7.8199139885902405","7.760948988676072","7.87887898850441","11.883872985839844","0.27062320709228516","0.034997325390577316","0.46682095527648926","1.835915446281433","A","997","Diffraction Peak"
"19-550","19","4.30559999370575","4.24663499379158","4.364564993619919","7.31962776184082","0.3693631589412689","0.032781314104795456","0.46518924832344055","2.157426595687866","B","550","Diffraction Peak"
"19-603","19","4.722285993099213","4.663320993185043","4.781250993013382","26.440780639648438","0.16425585746765137","0.032781314104795456","0.5234573483467102","3.0892605781555176","B","603","Diffraction Peak"
"19-780","19","6.113859991073609","6.054894991159439","6.1728249909877775","8.845725059509277","0.2922143340110779","0.032781314104795456","0.31660768389701843","1.66703200340271","A","780","Diffraction Peak"
"19-1116","19","8.755491987228394","8.696526987314224","8.814456987142563","6.251617908477783","0.3979603052139282","0.032781314104795456","0.6021197438240051","1.5730702877044678","A","1116","Diffraction Peak"
"20-603","20","4.722285993099213","4.663320993185043","4.781250993013382","24.040315628051758","0.23565003275871277","0.0463649183511734","0.6263576745986938","2.76660418510437","B","603","Diffraction Peak"
